বালাসরস্বতী	Balasaraswati
মধুর ভান্ডারকর	Madhur Bhandarkar
জুনিয়র মারে	Junior Murray
পিটার মার্টিন	Peter Martin
মার্সেল দেসায়ি	Marcel Desailly
মাসুদুর রহমান বৈদ্য	Masudur Rahman Baidya
মোনেম মুন্না	Monem Munna
স্যাম রকওয়েল	Sam Rockwell
শামীম আহমেদ রনি	Shamim Ahamed Roni
হারুনুর রশীদ	Harunur Rashid
রহমান	Rahman
রাজকুমারী আয়েশা বিনতে হোসেন	Princess Aisha bint Hussein
বিভাস রায়চৌধুরী	Bibhas Roy Chowdhury
রাসমুস লার্ডফ	Rasmus Lerdorf
রাহুল রায়	Rahul Roy
রুচিরা পল্লিয়াগুরুগে	Ruchira Palliyaguruge
রোনাল্ড ফেডকিউ	Ronald Fedkiw
রশীদ লতিফ	Rashid Latif
ক্রিস লুইস	Chris Lewis
লোটে শেরিং	Lotay Tshering
মারিন ল্য পেন	Marine Le Pen
ল্যারি স্যাঙ্গার	Larry Sanger
শতাব্দী রায়	Satabdi Roy
শান্তনু মৈত্র	Shantanu Moitra
দূরীন শাহনাজ	Durreen Shahnaz
শাহবাজ আহমেদ	Shahbaz Ahmed
সঙ্ঘমিত্রা বন্দ্যোপাধ্যায়	Sanghamitra Bandyopadhyay
সম্পদ রাজ	Sampath Raj
সলিল আঙ্কোলা	Salil Ankola
সাইফুল আলম	Saiful Alam
সাঈদ আনোয়ার	Saeed Anwar
সাশা গ্রাবো	Sascha Grabow
সুসান ওজস্কি	Susan Wojcicki
সেলিনা বেগম	Salina Begum
সৈয়দা রিজওয়ানা হাসান	Rizwana Hasan
স্টুয়ার্ট ল	Stuart Law
রিচার্ড স্নেল	Richard Snell
হাওয়া ইব্রাহিম	Hauwa Ibrahim
হাফিজ হামদুল্লাহ	Hafiz Hamdullah
রিচার্ড হালসল	Richard Halsall
নরেন্দ্র হিরওয়ানি	Narendra Hirwani
নাসের হুসেন	Nasser Hussain
হেপী বড়াল	Happy Baral
হোসে মানুয়েল দিয়াজ	Manolo Díaz
হুয়ান গেলমান	Juan Gelman
জন ট্যাবারি	Jean Tabary
অনুপ কুমার	Anup Kumar
অনুভা গুপ্ত	Anubha Gupta
অমলেন্দু দে	Amalendu De
অ্যাডোনিস	Adunis
জ্যাক অ্যালাব্যাস্টার	Jack Alabaster
আকিরা সুজুকি	Akira Suzuki
আবদুল করিম খন্দকার	A. K. Khandker
আবদুল কাভি দেসনাভী	Abdul Qavi Desnavi
আবদুল্লাহ আল মুতী শরফুদ্দিন	Abdullah-Al-Muti
আব্দুল আলীম	Abdul Alim
আব্রাহাম পিনকেনসন	Abram Pinkenson
আলিমুদ্দিন	Alimuddin
আল্লামা সুলতান যওক নদভী	Sultan Zauq Nadvi
শাহ আহমদ শফী	Shah Ahmad Shafi
ইন্দ্রানী রহমান	Indrani Rahman
ইবনে মিজান	Ibne Mizan
ইভানোভিচ আলফারভ	Zhores Alferov
ইয়োহান গাল্টুঙ	Johan Galtung
উইলিয়াম সি. ক্যাম্পবেল	William C. Campbell
জোঅ্যান উডওয়ার্ড	Joanne Woodward
এট্‌সখার ডেইক্‌স্ট্রা	Edsger W. Dijkstra
এম আর আখতার মুকুল	M. R. Akhtar Mukul
এম. এ. হান্নান	M. A. Hannan
এস্তেলা বার্নেস দে কারলত্তো	Estela de Carlotto
অ্যালেন ওকম্যান	Alan Oakman
ওয়ারেন বাফেট	Warren Buffett
জন ওয়েট	John Waite
কিশোর পারেখ	Kishor Parekh
কুমুদিনী লাখিয়া	Kumudini Lakhia
কৃষ্ণা বসু	Krishna Bose
কে. বালাচন্দর	K. Balachander
রামনাথ কেনি	Ramnath Kenny
ক্লিন্ট ইস্টউড	Clint Eastwood
খোন্দকার মনোয়ার হোসেন	Khandkar Manwar Hossain
জঁ-লুক গদার	Jean-Luc Godard
গম্ভীর সিং মুড়া	Gambhir Singh Mura
গাফার নিমাইরি	Jaafar Nimeiry
গিলমার দস সান্তোস নেভেস	Gylmar dos Santos Neves
গীতা বালি	Geeta Bali
সি. ডি. গোপীনাথ	C. D. Gopinath
গোবিন্দ হালদার	Gobinda Halder
গোরো শিমুরা	Goro Shimura
গোলাম ফরিদ সাবরি	Ghulam Farid Sabri
গ্যারি বেকার	Gary Becker
জয়সিংহরাও ঘোরপদে	Jayasinghrao Ghorpade
চাইথোয়াই রোয়াজা	Chaithoai Roaza
চার্লস কোরিয়া	Charles Correa
চিনুয়া আচেবে	Chinua Achebe
মারে চ্যাপেল	Murray Chapple
জন এ্যালজিও	John Algeo
জন ফ্রাঙ্কেনহাইমার	John Frankenheimer
জন সুলিভান মায়ো	John S. Mayo
জর্জ এলউড স্মিথ	George E. Smith
জাক দেরিদা	Jacques Derrida
জাহিদা জায়েদী	Zahida Zaidi
জে জি ব্যালার্ড	J. G. Ballard
জেরোম আইজ্যাক ফ্রিডম্যান	Jerome Isaac Friedman
ক্যারোলিন জোন্স	Carolyn Jones
জোসেফ আর. বেগিচ	Joseph Begich
ফ্রাঙ্ক টাইসন	Frank Tyson
ডেভ সেক্সটন	Dave Sexton
ডেরেক ওয়ালকট‌	Derek Walcott
ডেরেক কার্টিস বক	Derek Bok
দারোজি এরাম্মা	Daroji Eramma
সুষমা দাস	Shushama Das
নাইমাতুল্লাহ খান	Naimatullah Khan
নিল আর্মস্ট্রং	Neil Armstrong
ফিলিপ নোয়ারে	Philippe Noiret
চন্দ্রকান্ত পাটণকর	Chandrakant Patankar
পিট কনরাড	Pete Conrad
লেনডেন পিন্ডলিং	Lynden Pindling
ম্যাট পুর	Matt Poore
ফজলুর রহমান সুলতান	Fazlur Rahman Sultan
ফজলুল হালিম চৌধুরী	Fazlul Halim Chowdhury
বেগম ফজিলাতুন্নেসা	Sheikh Fazilatunnesa Mujib
ফ্রাঙ্ক ড্রেক	Frank Drake
বব গুচিওনি	Bob Guccione
বাজ অলড্রিন	Buzz Aldrin
জিম বার্ক	Jim Burke
বাসু চ্যাটার্জী	Basu Chatterjee
ফিরোজা বেগম	Firoza Begum
রিচি বেনো	Richie Benaud
কেন ব্যারিংটন	Ken Barrington
ব্রহ্মাণাপাল্লি বালাইয়াহ	Brahmanapalli Balaiah
দেবু ভট্টাচার্য	Debu Bhattacherjee
ভূপতি ভূষণ চৌধুরী	Bhupati Bhushan Chowdhury
আল্ফ ভ্যালেন্টাইন	Alf Valentine
মজিবর রহমান দেবদাস	Mujibur Rahman Devdas
মধুবালা	Madhubala
মনু মুখোপাধ্যায়	Monu Mukhopadhyay
অ্যালেন মস	Alan Moss
সত্যপ্রিয় মহাথের	Satya Priya Mahathero
মাইকেল কলিন্স	Michael Collins
মার্টিন কারপ্লাস	Martin Karplus
রয় মার্শাল	Roy Marshall
মাস্টার আব্দুল্লাহ	Master Abdullah
মাহমুদ ফার্শিয়ান	Mahmoud Farshchian
মিহির সেন	Mihir Sen
মুজিবুল হক	Mujibul Huq
মুস্তফা আক্কাদ	Moustapha Akkad
মুহাম্মদ গোলাম তাওয়াব	Muhammad Ghulam Tawab
মুহাম্মদ হাবিবুর রহমান	Muhammad Habibur Rahman
মাইকেল মেল	Michael Melle
মোবাউটু সেজ সেকো	Mobutu Sese Seko
স্টিভ ম্যাকুইন	Steve McQueen
রয় ম্যাকলিন	Roy McLean
ম্যাক্সিমিলিয়ান শেল	Maximilian Schell
রবার্ট আউমান	Robert Aumann
জেনা রোলান্ডস	Gena Rowlands
লিয়ন কুপার	Leon Cooper
ইয়ান লেগাট	Ian Leggat
শন কনারি	Sean Connery
শহীদ সাবের	Shahid Saber
শান্তা রাও	Shanta Rao
ক্লোদ শাব্রল	Claude Chabrol
শামসুল ইসলাম খান	Shamsul Islam Khan
শামীম শিকদার	Shamim Sikder
শাহাবুদ্দিন আহমেদ	Shahabuddin Ahmed
জো সলোমন	Joe Solomon
সাঈদ খাজা আজিজ-উদ-দ্বীন	Sayed Khwaja Aziz-ud-Din
সুধীন দাশ	Sudhin Das
সুনীল দত্ত	Sunil Dutt
সুভাষ দত্ত	Subhash Dutta
সৈয়দ মুস্তাফা সিরাজ	Syed Mustafa Siraj
স্টিফেন স্মেইল	Stephen Smale
ব্রায়ান স্ট্যাদাম	Brian Statham
স্বপন সাহা	Swapan Saha
হাজরা মাশরুর	Hajira Masroor
হাফেজ আল-আসাদ	Hafez al-Assad
নোয়েল হারফোর্ড	Noel Harford
টেড হিউজ	Ted Hughes
হুসেইন মুহাম্মদ এরশাদ	Hussain Muhammad Ershad
হেলমুট কোল	Helmut Kohl
জিন হ্যাকম্যান	Gene Hackman
হ্যারল্ড পিন্টার	Harold Pinter
রিচার্ড হ্যারিস	Richard Harris
ফ্রান্সিস্কো হেন্তো	Francisco Gento
অজিতেশ বন্দ্যোপাধ্যায়	Ajitesh Bandopadhyay
অমর্ত্য সেন	Amartya Sen
অলিভার স্যাক্স	Oliver Sacks
আকিহিতো	Akihito
আগারালা ঈশ্বরা রেড্ডি	Agarala Eswara Reddi
আতাউর রহমান খান খাদিম	Ataur Rahman Khan Khadim
নাজাহ আল-আতার	Najah al-Attar
আবদুর রাজ্জাক আন-নাইফ	Abd ar-Razzaq an-Naif
আবদুল লতিফ খান	Abdul Latif Khan
আবুল মকসুদ হারুন অর রশীদ	A. M. Harun-ar-Rashid
আব্দুর রহিম	Abdur Rahim
আব্দুল হামিদ	Abdul Hamid
আরউইন মার্ক জ্যাকবস	Irwin M. Jacobs
আরনো এলান পেনজিয়াস	Arno Allan Penzias
রন আর্চার	Ron Archer
আলতাফ মাহমুদ	Altaf Mahmud
আশা ভোঁসলে	Asha Bhosle
ইলা ভাট	Ela Bhatt
উইলবার স্মিথ	Wilbur Smith
উইলি নেলসন	Willie Nelson
উইলিয়াম মর্টন কাহান	William Kahan
ম্যারি উর	Mary Ure
এইচ. ডি. দেব গৌড়া	H. D. Deve Gowda
একবাল আহমাদ	Eqbal Ahmad
এডমণ্ড এস ফেল্পস	Edmund Phelps
এম কে আনোয়ার	M. K. Anwar
কিম এলজি	Kim Elgie
ওয়াহিদুল হক	Waheedul Haq
কদ্দৌর এম হামসাদজি	Kaddour M\Hamsadji
করম্যাক ম্যাকা‌র্থি	Cormac McCarthy
রিচার্ড এস. কাস্তেলানো	Richard S. Castellano
সৈয়দ গোলাম কিবরিয়া	Syed Golam Kibria
ইয়ান কুইক	Ian Quick
কেইকো আওয়াজি	Keiko Awaji
মাইকেল কেইন	Michael Caine
কোরাজন অ্যাকুইনো	Corazon Aquino
লেন কোল্ডওয়েল	Len Coldwell
প্যাট ক্রফোর্ড	Pat Crawford
খোন্দকার দেলোয়ার হোসেন	Khandaker Delwar Hossain
গ্যারিঞ্চা	Garrincha
দেবদাস চক্রবর্তী	Devdas Chakraborty
শক্তি চট্টোপাধ্যায়	Shakti Chattopadhyay
চার্লস কে. কাও	Charles K. Kao
ইউ. কে. চিং	UK Ching
জন গার্ডন	John Gurdon
জসীম উদ্দিন আহমেদ	Jasim Uddin Ahmed
জালাল তালেবানি	Jalal Talabani
জুলহাস উদ্দিন আহমেদ	Julhas Uddin Ahmed
টম ডিউডনি	Tom Dewdney
ডেনিস ভায়োলেট	Dennis Viollet
ডেভ ক্রো	Dave Crowe
ডোনাল্ড জে লিওনার্দ	Donald J. Leonard
ড্যানি আয়েলো	Danny Aiello
ত্রিদিব রায়	Tridev Roy
থান শি	Than Shwe
বাল দানি	Bal Dani
আলোকরঞ্জন দাশগুপ্ত	Alokeranjan Dasgupta
দীপেন্দ্রনাথ বন্দ্যোপাধ্যায়	Dipendranath Bandyopadhyay
দারা দোতিওয়ালা	Dara Dotiwalla
বাপু নাদকর্নী	Bapu Nadkarni
সেম্যুর নার্স	Seymour Nurse
নাসির বুন্দা	Naseer Bunda
পণ্ডিত বুদ্ধদেব দাশগুপ্ত	Buddhadev Das Gupta
সদাশিব পাতিল	Sadashiv Patil
পিটার ম্যান্সফিল্ড	Peter Mansfield
টনি পিদি	Tony Pithey
পূর্ণদাস বাউল	Purna Das Baul Samrat
প্রদোষ আইচ	Prodosh Aich
ফুজিকো ফুজিও	Fujiko Fujio
জুস্ত ফোঁতেন	Just Fontaine
ডিকি বার্ড	Dickie Bird
ক্যারল বার্নেট	Carol Burnett
আনন্দজী বীরজী শাহ	Anandji Virji Shah
ব্যাসিল বুচার	Basil Butcher
ব্রায়ান বুথ	Brian Booth
বেবী জামান	Baby Zaman
শুদ্ধানন্দ মহাথের	Suddhananda Mahathero
মার্ক জোনস	Mark Jones
মণিশংকর মুখোপাধ্যায়	Sankar
মুশারফ হোসেন খান	Musharrof Husain Khan
ড্যানিয়েল ম্যাসি	Daniel Massey
রঙ্গলাল সেন	Rangalal Sen
রণেশ মৈত্র	Ranesh Maitra
রবার্ট কার্ল	Robert Curl
রোমান পোলান্‌স্কি	Roman Polanski
শামসুর রহমান খান শাহজাহান	Shamsur Rahman Khan Shahjahan
শাহ আব্দুর রাজ্জাক	Shah Abdur Razzak
শেলডন অ্যাডেলসন	Sheldon Adelson
সত্যসাধন চক্রবর্তী	Satya Sadhan Chakraborty
সনজীদা খাতুন	Sanjida Khatun
সন্দীপন চট্টোপাধ্যায়	Sandipan Chattopadhyay
সমীর রায়চৌধুরী	Samir Roychoudhury
সাইয়িদ আতীকুল্লাহ	Sayeed Atiqullah
সাদেক খান	Sadek Khan
সালেহ আল-ফাওজান	Saleh Al-Fawzan
এ. জি. কৃপাল সিং	A. G. Kripal Singh
ইয়ান সিনক্লেয়ার	Ian Sinclair
ডায়ান সিলেন্টো	Diane Cilento
রয় সুইটম্যান	Roy Swetman
সুলতানা সারওয়াত আরা জামান	Sultana Zaman
সুলোচনা চভন	Sulochana Chavan
স্টিভেন ভেইনবার্গ	Steven Weinberg
ডেভিড স্টোরি	David Storey
এম. জে. কে. স্মিথ	M. J. K. Smith
কোলি স্মিথ	Collie Smith
ক্যামি স্মিথ	Cammie Smith
হাইনরিশ রোরার	Heinrich Rohrer
হাফিজ আহমেদ মজুমদার	Hafiz Ahmed Mazumder
হালিমা খাতুন	Halima Khatun
জ্যাকি হেনড্রিক্স	Jackie Hendriks
হোসেইন নাসর	Seyyed Hossein Nasr
রাজেশ্বরী সচদেব	Rajeshwari Sachdev
বারবারা সেররা	Barbara Serra
কিকু শারদা	Kiku Sharda
টাইগার উডস	Tiger Woods
অক্ষয় খান্না	Akshaye Khanna
অন্তরা মলি	Antara Mali
অমীশা প্যাটেল	Ameesha Patel
অস্টিন কডরিংটন	Austin Codrington
আন্দ্রে অ্যাডামস	Andre Adams
অ্যানি	Annie
কেসি অ্যাফ্লেক	Casey Affleck
নানাসে আইকাওয়া	Nanase Aikawa
আজহার উসমান	Azhar Usman
তাহমিমা আনাম	Tahmima Anam
আনিসুল হাকিম	Anisul Hakim
আব্দুল লতিফ বিন আব্দুল্লাহ সালেহ মুহাম্মদ আল-কাওয়ারী	Abd al-Latif Bin Abdullah Salih Muhammad al-Kawari
আব্বাস	Abbas
সোহেল আব্বাস	Sohail Abbas
রুশনারা আলী	Rushanara Ali
আহমেদ বুখাতির	Ahmed Bukhatir
ইচিরো ওডা	Eiichiro Oda
ইভা আবু হালাওয়েহ	Eva Abu Halaweh
নিলুফার ইয়াসমিন	Nilufar Yasmin
ইয়েসমিন বিনতে আছিম	Princess Yasmine bint Asem
সলিম ইলিস	Salim Iles
উমা রিয়াজ খান	Uma Riyaz Khan
এ.কে.এম. মাহমুদ	A. K. M. Mahmood
একতা কাপুর	Ekta Kapoor
ওয়াং কিয়াং	Wang Qiang
রেখা ওয়াহিদ	Rekha Waheed
কণিকা রানী অধিকারী	Konika Rani Adhikary
কর্ণম মালেশ্বরী	Karnam Malleswari
কামাল রশিদ খান	Kamaal R. Khan
ক্রেগ কামিং	Craig Cumming
কারার রহমান	Karar Rahman
জেমস কার্টলি	James Kirtley
নীল কার্টার	Neil Carter
রিওন কিং	Reon King
কিরিল মেদভিদেভ	Kirill Medvedev
ব্র্যাডলি কুপার	Bradley Cooper
কৃশদায়ান্তি	Krisdayanti
কে এম বীণামল	K. M. Beenamol
কেট উইন্সলেট	Kate Winslet
মারিয়োঁ কোতিয়ার	Marion Cotillard
জ্যাক ক্যালিস	Jacques Kallis
ক্রিস গফানি	Chris Gaffaney
ড্যানিয়েলা ক্রুকোয়ার	Daniela Krukower
স্টুয়ার্ট ক্লার্ক	Stuart Clark
রাজু খাদকা	Raju Khadka
গার্গী রায়চৌধুরী	Gargi Roychowdhury
গুলফাম খান	Gulfam Khan
গ্যারি নেভিল	Gary Neville
রাজ চক্রবর্তী	Raj Chakraborty
জিয়াউর রহমান জিয়া	Ziaur Rahman Zia
জুলিয়ান মার্লে	Julian Marley
জেনিরো টাকার	Janeiro Tucker
জেসন গিলেস্পি	Jason Gillespie
জোবেদা আলী	Jobeda Ali
অ্যাঞ্জেলিনা জোলি	Angelina Jolie
জ্যায়ান ভ্যাল জ্যায়ান	Jean Val Jean
টেরেন্স টাও	Terence Tao
ক্লেয়ার টেলর	Claire Taylor
মার্কাস ট্রেসকোথিক	Marcus Trescothick
ডেভিড বেকহ্যাম	David Beckham
ডোনাল্ড আগু	Donald Agu
ড্রিউ ব্যারিমোর	Drew Barrymore
তাজিন আহমেদ	Tazin Ahmed
তাতিয়ানা আব্রামোভা	Tatiana Abramova
তাহজীব আলম সিদ্দিকী	Tahjib Alam Siddique
শার্লিজ থেরন	Charlize Theron
দিনা আল জুহানি আব্দুল আজিজ	Deena Aljuhani Abdulaziz
দিনো মোরিয়া	Dino Morea
মহেন্দ্র নাগামুতু	Mahendra Nagamootoo
নাজমা আকতার	Nazma Akter
নাভানা আক্তার	Navana Akter
নিয়ামুর রশিদ	Niamur Rashid
ক্রিস নেভিন	Chris Nevin
নেস্তর পিতানা	Néstor Pitana
পরাগ তেয়াগী	Parag Tyagi
গণীরা পশাইভ	Ganira Pashayeva
রবীন্দ্র পুষ্পকুমারা	Ravindra Pushpakumara
পেড্রো পাস্কাল	Pedro Pascal
এম. এস. কে. প্রসাদ	M. S. K. Prasad
প্রীতি জিনতা	Preity Zinta
সিয়া	Sia
ফেলিক্স ব্রিখ	Felix Brych
বন্যা মির্জা	Bonna Mirza
বাইচুং ভুটিয়া	Bhaichung Bhutia
বিদ্যুৎ গোর	Vidyut Gore
ব্রায়ান কোনিয়েৎস	Bryan Konietzko
ভেসেলিন তোপালভ	Veselin Topalov
ভ্লাদিমির ক্রামনিক	Vladimir Kramnik
মনিকা বেদী	Monica Bedi
মনোজ কুমার পান্ডে	Manoj Kumar Pandey
অংগরাগ মহন্ত	Papon
তাজ মালিক	Taj Malik
মাসুদুর রহমান	Masudur Rahman
মাহি গিল	Mahie Gill
মিনি মাথুর	Mini Mathur
মিলা ইয়োভাভিচ	Milla Jovovich
মীনা রানা	Meena Rana
মীর আফসার আলী	Mir Afsar Ali
কৌশিক মুখোপাধ্যায়	Qaushiq Mukherjee
মোহামেদ ফাইজাল পি পি	Mohammed Faizal P. P.
মোহাম্মদ আমির হোসেন	Mohammed Amir Hossain
মৌলি গাঙ্গুলি	Mouli Ganguly
নিল ম্যাকেঞ্জি	Neil McKenzie
টোবি ম্যাগুইয়ার	Tobey Maguire
ম্যানুয়েল ফেরারা	Manuel Ferrara
ম্যারিসা ম্যায়ের	Marissa Mayer
মাহবুব হোসেন রক্সি	Mahabub Hossain Roksy
সদাগোপান রমেশ	Sadagoppan Ramesh
পুনীত রাজকুমার	Puneeth Rajkumar
অ্যালান রিচার্ডসন	Alan Richardson
রুয়াইদা আল-মাহরুকী	Ruwaida al-Mahrouqi
অ্যাডাম রোদরিগেজ	Adam Rodriguez
ইভা লঙ্গোরিয়া	Eva Longoria
শফিক তুহিন	Shafiq Tuhin
শিল্পা শেঠী	Shilpa Shetty
শেন বন্ড	Shane Bond
শেল্টন বেঞ্জামিন	Shelton Benjamin
শোয়েব আখতার	Shoaib Akhtar
শ্বেতা সিং	Sweta Singh
সন্ধ্যা মৃদুল	Sandhya Mridul
সাইম রানা	Sayeem Rana
সাইমন ক্যাটিচ	Simon Katich
অ্যান্ড্রু সাইমন্ডস	Andrew Symonds
সাদাফ মালাটারে	Sadaf Malaterre
সাবরিনা সুলতানা	Sabrina Sultana
ম্যাথু সিনক্লেয়ার	Mathew Sinclair
ক্রিস সিলভারউড	Chris Silverwood
সুচিত্রা কৃষ্ণমূর্তি	Suchitra Krishnamoorthi
সুরিয়া শিবকুমার	Suriya
সুস্মিতা সেন	Sushmita Sen
সোনালী বেন্দ্রে	Sonali Bendre
সোফি গ্রেগরি ট্রুডো	Sophie Grégoire Trudeau
স্কট স্টাইরিস	Scott Styris
হরিষ জয়রাজ	Harris Jayaraj
অ্যান্ড্রু হল	Andrew Hall
মাইকেল হাসি	Michael Hussey
হুয়ান সেবাস্তিয়ান ভেরন	Juan Sebastián Verón
গীতা গোপীনাথ	Gita Gopinath
ব্রজেশ হিরজী	Vrajesh Hirjee
আছিয়া নাসির	Aasiya Nasir
মধু নটরাজ	Madhu Nataraj
হুমায়ূন সাঈদ	Humayun Saeed
অজিত কুমার	Ajith Kumar
অ্যান্ডি কোল	Andy Cole
আদ্রিয়ানা স্ক্লেনারিকোভা	Adriana Karembeu
আনিসুর রহমান	Anisur Rahman
আনোয়ার আল-আওলাকি	Anwar al-Awlaki
আবু বকর আল-বাগদাদী	Abu Bakr al-Baghdadi
আবুল কালাম আজাদ	Abul Kalam Azad
আশেক উল্লাহ রফিক	Asheq Ullah Rafiq
ইন্দ্রানী হালদার	Indrani Haldar
ইমতিয়াজ আলী	Imtiaz Ali
শওকত আলী ইমন	Shawkat Ali Emon
ইলিয়াস উদ্দিন মোল্লাহ্	Elias Mollah
এন.কে.সলিল	N. K. Salil
ম্যাথু এলিয়ট	Matthew Elliott
ঐশ্বর্য	Aishwarya
ওয়াকার ইউনুস	Waqar Younis
কবিরুল হক	Md. Kabirul Haque
ডমিনিক কর্ক	Dominic Cork
কাজী মো. এজারুল হক আকন্দ	Kazi Md. Ejarul Haque Akondo
আশীষ কাপুর	Aashish Kapoor
রেজিনা কিং	Regina King
রয় কিন	Roy Keane
কুনাল গোস্বামী	Kunal Goswami
কুমার ধর্মসেনা	Kumar Dharmasena
ক্যাটরিনা কিনান	Katrina Keenan
আরশাদ খান	Arshad Khan
খালিদ খান	Khalid Khan
খালেদ মাহমুদ সুজন	Khaled Mahmud
খুররম খান	Khurram Khan
ফাউজিয়া গাইলানি	Fauzia Gailani
অ্যাডাম গিলক্রিস্ট	Adam Gilchrist
শার্লত গ্যাঁসবুর	Charlotte Gainsbourg
প্রীতম চক্রবর্তী	Pritam
আদিত্য চোপড়া	Aditya Chopra
এম. জয়চন্দ্রন	M. Jayachandran
জয়ী রহমান	Zoe Rahman
জহুর এলাহী	Zahoor Elahi
অজয় জাদেজা	Ajay Jadeja
জালাল আলমগীর	Jalal Alamgir
জাস্টিন ট্রুডো	Justin Trudeau
জিওফ অ্যালট	Geoff Allott
জেরেমি রেনার	Jeremy Renner
জেরেমিয়া মাতিবিরি	Jeremiah Matibiri
স্টিভ টিকোলো	Steve Tikolo
ডেভিড বেট্টনি	David Bettoni
তাবু	Tabu
তালুকদার মোহাম্মদ তৌহিদ জং মুরাদ	Talukdar Mohammad Towhid Jung Murad
তোমা পিকেতি	Thomas Piketty
দিলওয়ার হুসাইন	Dilwar Hussain
দেমেত্রিও আলবের্তিনি	Demetrio Albertini
কিরণ দেশাই	Kiran Desai
নাথান অ্যাসলে	Nathan Astle
নেয়ামত ইমাম	Neamat Imam
ডিওন ন্যাশ	Dion Nash
পবন কল্যাণ	Pawan Kalyan
পরমজিত কাউর লন্দ্রান	Paramjit Kaur Landran
পল বেটনি	Paul Bettany
পিট সাম্প্রাস	Pete Sampras
পেপ গার্দিওলা	Pep Guardiola
অ্যাডাম প্যারোরে	Adam Parore
প্রমোদ্যা বিক্রমাসিংহে	Pramodya Wickramasinghe
ডেভিড ফুলটন	David Fulton
মার্টিন ফ্রিম্যান	Martin Freeman
ব্র্যাড হগ	Brad Hogg
ম্যারি জে. ব্লাইজ	Mary J. Blige
গ্রেগ ব্লিউয়েট	Greg Blewett
ভি. কে. শ্রীকান্দান	V. K. Sreekandan
মঈন খান	Moin Khan
ইউয়ান ম্যাকগ্রেগর	Ewan McGregor
এম বি মানিক	M B Manik
মান্নারা চোপড়া	Mannara Chopra
মার্ক ওয়ালবার্গ	Mark Wahlberg
ড্যামিয়েন মার্টিন	Damien Martyn
মালিক আহমদ করিম কাসওয়ার ল্যাঙ্গরিয়াল	Malik Ahmad Karim Qaswar Langrial
মীনাক্ষী শ্রীনিবাসন	Meenakshi Srinivasan
মুহাম্মদ হাবিবুর রহমান	Muhammad Habibar Rahman
মোহাম্মদ মেহেদী হাসান	Mohamed Mehdi Hasan
স্টুয়ার্ট ম্যাকগিল	Stuart MacGill
ম্যাথু হেইডেন	Matthew Hayden
যোহান ক্লোয়েত	Johan Cloete
উইনোনা রাইডার	Winona Ryder
রাকেশ চৌরাসিয়া	Rakesh Chaurasia
রাজপাল যাদব	Rajpal Yadav
রিকি মার্টিন	Ricky Martin
রুহুল আমিন	Ruhul Amin
রোল্যান্ড ব্ল্যাক	Roland Black
জ্যারেড লেটো	Jared Leto
ল্যান্স ক্লুজনার	Lance Klusener
শাইলা আব্দুল্লাহ	Shaila Abdullah
সালমান শাহ	Salman Shah
শাহীদা রহমান	Shahida Rahman
শিরিন জাওয়াদ	Shireen Jawad
শেখ ফজলে নূর তাপস	Sheikh Fazle Noor Taposh
শ্রীরঞ্জিনী	Sriranjini
সজীব ওয়াজেদ	Sajeeb Wazed
সাইফুজ্জামান শিখর	Saifuzzaman Shikhor
সাইমন টাওফেল	Simon Taufel
সাশা ব্যারন কোহেন	Sacha Baron Cohen
সুখবিন্দর সিং	Sukhwinder Singh
সুসি সুসান্তি	Susi Susanti
ঋতুপর্ণা সেনগুপ্ত	Rituparna Sengupta
সের্জি ব্রুগুয়েরা	Sergi Bruguera
সেলেনা	Selena
সৈয়দ আরশাদ আলী	Syed Arshad Ali
সোফিয়া হক	Sophiya Haque
মাইকেল সি. হল	Michael C. Hall
অ্যাডাম হলিউক	Adam Hollioake
অ্যাডাম হাকল	Adam Huckle
হাকান শুকুর	Hakan Şükür
হাবিব আলী আল জিফরী	Ali al-Jifri
বিপাশা হায়াত	Bipasha Hayat
হেনরিক লারসন	Henrik Larsson
কৃষ্ণেন্দু অধিকারী	Krishnendu Adhikari
রিজ আহমেদ	Riz Ahmed
বাতুল ফাতিমা	Batool Fatima
কিয়েরা চ্যাপলিন	Kiera Chaplin
সাইদ দুরাহ	Said Durrah
ঝুলন গোস্বামী	Jhulan Goswami
জালাল হোসাঈনী	Jalal Hosseini
ইমরান ফরহাত	Imran Farhat
মোহাম্মাদ আসিফ	Mohammad Asif
রতি পাণ্ডে	Rati Pandey
মন্টি পানেসর	Monty Panesar
ইউসুফ পাঠান	Yusuf Pathan
কৃষ্ণা পুনিয়া	Krishna Poonia
মোহাম্মদ রফি	Mohammed Rafi
আমের রহমান	Aamer Rahman
এডুয়ার্ডো স্যাভেরিন	Eduardo Saverin
মাইকেল সোয়ার্ট	Michael Swart
ইয়াসির আরাফাত	Yasir Arafat
অতুল রাই	Atul Rai
অনুপম রায়	Anupam Roy
অনুশা দান্ডেকার	Anusha Dandekar
অভিনভ বিন্দ্রা	Abhinav Bindra
অমি ত্রিবেদী	Ami Trivedi
অমিত মিশ্র	Amit Mishra
অল্লু অর্জুন	Allu Arjun
ফিদেল অ্যাডওয়ার্ডস	Fidel Edwards
অ্যানা চ্যাপম্যান	Anna Chapman
জেমস অ্যান্ডারসন	James Anderson
অ্যালেক্স অ্যামব্রোজ	Alex Ambrose
আইশাথ নাহুলা	Aishath Nahula
আদ্রিয়ানো	Adriano
